Code INSEE,Nom de la commune,Code postal,ID Magasin,Magasin attribué,Département,Région
9100,COUFLENS,09140,102,ALUMI'9,Ariège,Occitanie
9100,COUFLENS,09140,102,ALUMI'9,Ariège,Occitanie
9113,ERCE,09140,102,ALUMI'9,Ariège,Occitanie
9223,OUST,09140,102,ALUMI'9,Ariège,Occitanie
9285,SEIX,09140,102,ALUMI'9,Ariège,Occitanie
9291,SENTENAC D OUST,09140,102,ALUMI'9,Ariège,Occitanie
9299,SOUEIX ROGALLE,09140,102,ALUMI'9,Ariège,Occitanie
9299,SOUEIX ROGALLE,09140,102,ALUMI'9,Ariège,Occitanie
9322,USTOU,09140,102,ALUMI'9,Ariège,Occitanie
9322,USTOU,09140,102,ALUMI'9,Ariège,Occitanie
9086,CAUMONT,09160,102,ALUMI'9,Ariège,Occitanie
9091,CAZAVET,09160,102,ALUMI'9,Ariège,Occitanie
9187,MERCENAC,09160,102,ALUMI'9,Ariège,Occitanie
9208,MONTGAUCH,09160,102,ALUMI'9,Ariège,Occitanie
9307,TAURIGNAN CASTET,09160,102,ALUMI'9,Ariège,Occitanie
9128,GAJAN,09190,102,ALUMI'9,Ariège,Occitanie
9268,ST LIZIER,09190,102,ALUMI'9,Ariège,Occitanie
9289,LORP SENTARAILLE,09190,102,ALUMI'9,Ariège,Occitanie
9308,TAURIGNAN VIEUX,09190,102,ALUMI'9,Ariège,Occitanie
9008,ALOS,09200,102,ALUMI'9,Ariège,Occitanie
9110,ENCOURTIECH,09200,102,ALUMI'9,Ariège,Occitanie
9114,ERP,09200,102,ALUMI'9,Ariège,Occitanie
9119,EYCHEIL,09200,102,ALUMI'9,Ariège,Occitanie
9149,LACOURT,09200,102,ALUMI'9,Ariège,Occitanie
9201,MONTEGUT EN COUSERANS,09200,102,ALUMI'9,Ariège,Occitanie
9204,MONTESQUIEU AVANTES,09200,102,ALUMI'9,Ariège,Occitanie
9209,MONTJOIE EN COUSERANS,09200,102,ALUMI'9,Ariège,Occitanie
9209,MONTJOIE EN COUSERANS,09200,102,ALUMI'9,Ariège,Occitanie
9214,MOULIS,09200,102,ALUMI'9,Ariège,Occitanie
9247,RIVERENERT,09200,102,ALUMI'9,Ariège,Occitanie
9261,ST GIRONS,09200,102,ALUMI'9,Ariège,Occitanie
9277,ST YBARS,09210,102,ALUMI'9,Ariège,Occitanie
9030,AUZAT,09220,102,ALUMI'9,Ariège,Occitanie
9134,GESTIES,09220,102,ALUMI'9,Ariège,Occitanie
9135,GOULIER,09220,102,ALUMI'9,Ariège,Occitanie
9143,ILLIER ET LARAMADE,09220,102,ALUMI'9,Ariège,Occitanie
9162,LERCOUL,09220,102,ALUMI'9,Ariège,Occitanie
9222,ORUS,09220,102,ALUMI'9,Ariège,Occitanie
9286,SEM,09220,102,ALUMI'9,Ariège,Occitanie
9295,SIGUER,09220,102,ALUMI'9,Ariège,Occitanie
9302,SUC ET SENTENAC,09220,102,ALUMI'9,Ariège,Occitanie
9334,VICDESSOS,09220,102,ALUMI'9,Ariège,Occitanie
